Cust#,Customer Name,State,AE#,Gross Demand#,Gross Demand$,Gross Shipped$,Gross Shipped Countt,Discount$,Discount%,Net_Shipped$,GP%,mean_price
15486,SAMPLES (IN HOUSE ACCT),NY,21.00,31.00,167.40,167.40,31.00,167.40,1.00,0.00,0.00,0.00
17561,THREE RIVERS FOOD CO-OP,IN,8.00,3.00,16.20,16.20,3.00,11.77,0.73,4.43,-0.68,1.48
17522,NATURALLE LIFE VITAMINS &,FL,15.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17523,NATURALLY SOERGEL'S DBA,PA,12.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17530,TOTAL BODY NUTRITION,CA,3.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17535,JANDI'S (DBA),NY,13.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17538,HARVEST NATURAL FOODS,CA,3.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17544,POINTE NUTRITION CENTER,MI,9.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.37,1.80
17557,HEARTLINE HEALTH INC,AR,6.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.38,1.80
17558,"SEVEN GRAINS, INC. DEB",OH,9.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.38,1.80
17564,BEACON WELLNESS PHARM INC,NY,13.00,3.00,16.20,16.20,3.00,10.80,0.67,5.40,-0.38,1.80
17287,VITAMINS R US,FL,15.00,3.00,16.20,16.20,3.00,8.10,0.50,8.10,0.09,2.70
17562,LUCKY'S COLUMBUS DBA,OH,9.00,3.00,16.20,16.20,3.00,8.10,0.50,8.10,0.08,2.70
17563,LUCKY'S CLEVELAND DBA,OH,9.00,3.00,16.20,16.20,3.00,8.10,0.50,8.10,0.08,2.70
17519,NATURES STOREHOUSE HEALTH,FL,15.00,6.00,32.40,32.40,6.00,16.20,0.50,16.20,0.09,2.70
